Date,Actual_Return,HS_VaR,HS_ES,Normal_VaR,Normal_ES,StudentT_VaR,StudentT_ES,GARCH_VaR,GARCH_ES
2016-12-30,-0.016649932045337684,-0.025244897401177642,-0.027300103842481244,-0.020766244954259522,-0.02411086947173872,-0.025200751796788233,-0.03642381727948703,-0.01918100173836506,-0.022384797941996465
2017-01-03,-0.000620130508524633,-0.025312779385501163,-0.027300103842481244,-0.021339275002555388,-0.024733442441551325,-0.02593392705858027,-0.03743673212005359,-0.03182679794899683,-0.036846546562815385
2017-01-04,0.005685494059919155,-0.025244897401177642,-0.027300103842481244,-0.021273077270798326,-0.024654640448956253,-0.02596935015927338,-0.037672184630163454,-0.021405577836266138,-0.024903120695471407
2017-01-05,0.002132139145970828,-0.02517701541685412,-0.027300103842481244,-0.02116506211148705,-0.02453515181467007,-0.025837139260041084,-0.0375500762245595,-0.016415635544153234,-0.019186142614679453
2017-01-06,0.012083785005064475,-0.02517701541685412,-0.027300103842481244,-0.021138416160622564,-0.024507659517538662,-0.025824629491652203,-0.03760077267017167,-0.013725134398073798,-0.016106702926166276
2017-01-09,0.00634554881211422,-0.025312779385501163,-0.027300103842481244,-0.021269783198505664,-0.02464376828391474,-0.025849445656265176,-0.03744238556724336,-0.01837925466347609,-0.02143304414583919
2017-01-10,-0.0037287802400259524,-0.025244897401177642,-0.027300103842481244,-0.02116092729745099,-0.024524162940251056,-0.025683503832096978,-0.03721908424928011,-0.015204934185452556,-0.0178023442696876
2017-01-11,0.003997479990204078,-0.02517701541685412,-0.027300103842481244,-0.021143435458220724,-0.024497685736359336,-0.025643320445280417,-0.03709552746330108,-0.015799956112250824,-0.018478058391576725
2017-01-12,-0.0018283852646320473,-0.02517701541685412,-0.027300103842481244,-0.021132362308997146,-0.0244780433082264,-0.02589533848220536,-0.03792582736434889,-0.013454216858149005,-0.015779711171742726
2017-01-13,0.00032153420467950355,-0.02517701541685412,-0.027300103842481244,-0.021188504796580698,-0.024532328995703047,-0.026123868880272183,-0.038439340732772304,-0.013806349693938437,-0.01617027735705049
2017-01-17,-0.004567676411789785,-0.025312779385501163,-0.027300103842481244,-0.021287490417274988,-0.024645283875117708,-0.02651196691947134,-0.039462443441970606,-0.012880614799509894,-0.015107525683939608
2017-01-18,0.0016784650406676245,-0.025244897401177642,-0.027300103842481244,-0.0212828640793571,-0.02463272136219838,-0.026439749845851995,-0.03920447086624775,-0.01573448973832056,-0.018366482267886196
2017-01-19,0.002107914940804604,-0.025244897401177642,-0.027300103842481244,-0.021296926854205995,-0.02464206486457214,-0.026762738799349907,-0.040170592005205834,-0.013354785154642237,-0.015629534464481412
2017-01-20,0.003961821488550169,-0.025244897401177642,-0.027300103842481244,-0.02127459718536352,-0.024619233153084962,-0.026734379880471636,-0.04016524850523962,-0.012095117684146072,-0.01417995790567094
2017-01-23,0.008082712662924298,-0.025380661369824684,-0.027300103842481244,-0.021276028979289825,-0.02460952972199863,-0.027414421092366432,-0.042640847846190114,-0.011781964160554789,-0.013805764015243695
2017-01-24,0.011448032798466866,-0.025312779385501163,-0.027300103842481244,-0.021172381167197434,-0.02449826843654975,-0.027071806053182462,-0.04179693422946965,-0.01429935283816635,-0.016700438938678442
2017-01-25,0.010583890653917242,-0.025244897401177642,-0.027300103842481244,-0.02109410653119537,-0.024419818338636233,-0.026694323728317308,-0.040689363863756434,-0.018496529645286,-0.021517963076239516
2017-01-26,0.00505350581230579,-0.025244897401177642,-0.027300103842481244,-0.021083982364353247,-0.024420007197313763,-0.026274177807130344,-0.039339215086975875,-0.01875083608504004,-0.02181986840972591
2017-01-27,0.002789135349783469,-0.025244897401177642,-0.027300103842481244,-0.02105439367162217,-0.02439152285094732,-0.026119323752072394,-0.038967835101317225,-0.014805755691683707,-0.017307199607387563
2017-01-30,-0.011452199415464897,-0.025380661369824684,-0.027300103842481244,-0.0212620397340763,-0.02460839116931144,-0.026989256799214517,-0.041216838035991764,-0.012842946392864278,-0.015036833226001864
2017-01-31,-0.006240926558621549,-0.025312779385501163,-0.027300103842481244,-0.021436486996363087,-0.024793031702327793,-0.026922620829687806,-0.04053887621827657,-0.02345470897793048,-0.027165634141487725
2017-02-01,0.01476796063663413,-0.025244897401177642,-0.027300103842481244,-0.021463753186568093,-0.024815268894949633,-0.026781550398921664,-0.039976982359245405,-0.02088294453981901,-0.02421343268301036
