Date,Actual_Return,HS_VaR_90,HS_VaR_95,HS_VaR_99,Normal_VaR_90,Normal_VaR_95,Normal_VaR_99,StudentT_VaR_90,StudentT_VaR_95,StudentT_VaR_99,GARCH_VaR_90,GARCH_VaR_95,GARCH_VaR_99
2019-12-05,0.0009594010996909,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013744622303738187,-0.018094705285340202,-0.0262547375043786,-0.011972153941358369,-0.016908437545973057,-0.028779667055112614,-0.010646645742799402,-0.014235118444250369,-0.02096649643975607
2019-12-06,0.0121784743701734,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013752913549183055,-0.01810302472977028,-0.02626310984541521,-0.011986172752607323,-0.016921966746626445,-0.028789230966071527,-0.00971763572005552,-0.01302776421055987,-0.019237014757252924
2019-12-09,-0.0016569225611154,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.013812544366923281,-0.018140803966514112,-0.02625989915030679,-0.011986806718388242,-0.01691615051790033,-0.028867614537580622,-0.010330963206710819,-0.013802383367983843,-0.02031419026491236
2019-12-10,0.001124607240798,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013780716602582883,-0.018093060428529317,-0.02618230026788869,-0.011953336062242583,-0.016874473624942096,-0.028855646288452844,-0.009629558395926288,-0.012895288987385293,-0.019021256459203707
2019-12-11,0.0055304643087067,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013805206978439956,-0.018091301783458056,-0.026131302824983153,-0.01190451494982451,-0.01683857918497527,-0.029062389310331498,-0.009001920964532865,-0.012059477036462941,-0.017794943730773588
2019-12-12,0.0107504683035943,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013804537789856486,-0.01809078968896066,-0.026131085412865192,-0.011904205807858769,-0.016837917455510863,-0.029058398839394387,-0.008447303771089992,-0.01135384827079919,-0.016806042370085407
2019-12-13,0.0020725131167111,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013644996493621418,-0.017929298259152328,-0.025965935856796622,-0.01167501333339237,-0.016612642930861708,-0.02888479958444648,-0.008834200717342866,-0.01189526793710587,-0.017637320960818433
2019-12-16,0.0071489706229894,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.013639365817313908,-0.01792793543709533,-0.02597257881953444,-0.011609178935111153,-0.016579480910371452,-0.029062462150773054,-0.00798731671702218,-0.010816841161167033,-0.016124558445280924
2019-12-17,0.0031401097085749,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013549102736574831,-0.017824620237369047,-0.025844780015262508,-0.011489900732475355,-0.016449236619391235,-0.028933225557908504,-0.007687006639260703,-0.010451203704298768,-0.0156363776896868
2019-12-18,-0.0006050901707677,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013556030743865022,-0.017830924478885343,-0.025849914175924332,-0.011498717885762908,-0.016459555324829747,-0.02895719213382364,-0.006911192896470273,-0.009464009006122494,-0.014252667473591748
2019-12-19,0.0073854062829443,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013567381142890217,-0.01779905987479994,-0.025736985413012597,-0.011416118112247672,-0.01636422072633663,-0.02904121536960111,-0.006832916331619918,-0.009321619095290374,-0.013990011588272656
2019-12-20,0.0042990932356926,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013539409641592073,-0.017775488932141967,-0.02572166918651462,-0.01139178966973313,-0.016329026401951236,-0.028904211930826918,-0.0065991413641260386,-0.00905527519486407,-0.013662573786145563
2019-12-23,0.0027977593613885,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.013586724484385502,-0.017833905847011933,-0.02580091174223461,-0.011423471876259236,-0.01637931646216799,-0.029022250879065487,-0.005754170497822333,-0.00800233225005035,-0.012219509809507948
2019-12-24,-0.0018348413645979,-0.012462280963654041,-0.016615759784602578,-0.03717513288766067,-0.013517512283741265,-0.017748179137811126,-0.025684206561479784,-0.011318621617258095,-0.016273022630911408,-0.029005465817529646,-0.005020144360269854,-0.007080363167133185,-0.010944991017538569
2019-12-26,0.0144185195968531,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013286570405751076,-0.017488741474066833,-0.025371315542743463,-0.011073951316493353,-0.0159996839020332,-0.028743171707838307,-0.004713401028956203,-0.006728626329244083,-0.010508853844102769
2019-12-27,-0.0018078692561451,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013289774549933034,-0.017495260870940763,-0.025384053802313844,-0.01108840138226229,-0.016015664212784726,-0.02874736417313605,-0.00806418057129681,-0.011037282790512802,-0.016614328102499593
2019-12-30,-0.0106497150907423,-0.012106087328670452,-0.016472634813999746,-0.03730041431509804,-0.013371190965582251,-0.01759275770342983,-0.02551171482248938,-0.011209461854661528,-0.0161403111848253,-0.028797729742533376,-0.007549889006576855,-0.010368705300587523,-0.015656335875902806
2019-12-31,0.0050362847657907,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013472235604510824,-0.017695281218318246,-0.025617012462729266,-0.011393203973961099,-0.016300303839029945,-0.028755713426332378,-0.010102660115143294,-0.013598908918622525,-0.020157290219123228
2020-01-02,0.0198287409101593,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013476779759248377,-0.017679742954206237,-0.025563802920726308,-0.01131833096876932,-0.016240864463354855,-0.02893755525403317,-0.009000808889420052,-0.012162054850918183,-0.01809202653358017
2020-01-03,-0.0106500223919338,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.01348007790971905,-0.01772505412910054,-0.0256879235423291,-0.011430365284350357,-0.016361162038049208,-0.02884691811688089,-0.012931807660763434,-0.01725094376652073,-0.025352924793193485
2020-01-06,0.0089992498235785,-0.012106087328670452,-0.016472634813999746,-0.03730041431509804,-0.013699348122379077,-0.01797499990543439,-0.025995411574517426,-0.01176024043164661,-0.01668571514549999,-0.028935684698730185,-0.013635762443659877,-0.018136612116613677,-0.026579457574891788
2020-01-07,-0.0001688645497118,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013604354792828718,-0.017870077958821083,-0.02587186519350441,-0.01165055241710037,-0.016559328687948224,-0.0287509881770522,-0.012212284097227464,-0.01631545701174915,-0.024012327008112323
2020-01-08,0.0068666766222676,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.013558701046071925,-0.017807912100078635,-0.0257787253587764,-0.011590935999887536,-0.016494527831478707,-0.028744068364552306,-0.010570981683436693,-0.014205866164207506,-0.02102430493905802
2020-01-09,0.0116834048932529,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.0133950647125012,-0.017633625542734382,-0.025584460752852492,-0.011322839474180484,-0.016240275122673165,-0.02866761091331095,-0.009431437368522366,-0.012774138413430655,-0.019044489655102775
2020-01-10,-7.120088459305852e-05,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.01337161668827594,-0.01762233592533324,-0.025595978284610715,-0.011341321309311505,-0.016241134464321648,-0.028471300354978746,-0.009769591745289222,-0.01321803942863804,-0.019686753777492072
2020-01-13,0.0125557702938204,-0.012106087328670452,-0.016472634813999746,-0.03730041431509804,-0.013591038593917457,-0.017856577083733092,-0.02585801789662203,-0.011596394489458272,-0.01652967272019182,-0.028906156866965117,-0.008863311942717396,-0.01202321327018576,-0.017950662643031558
2020-01-14,-0.0105701087381802,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013496873510122034,-0.01776049481826301,-0.02575833931717332,-0.011520173736604918,-0.01643078847307855,-0.028657231159352484,-0.009553629286038796,-0.012932457190011895,-0.019270576411096894
2020-01-15,0.0005195760037459,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.013594884798317072,-0.017859463412248373,-0.025859103657613527,-0.011696366375337637,-0.016585266138457865,-0.028636114628323335,-0.011165105562520674,-0.014965199670799817,-0.02209354423114107
2020-01-16,0.0117002615668353,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.013616534942207818,-0.017880711198503672,-0.0258795966878601,-0.01173149792652233,-0.016620417875935507,-0.028672244910690987,-0.009810960185293227,-0.013220235609723663,-0.019615469315514472
2020-01-17,0.0055606990876103,-0.012041051603003831,-0.01645498691448669,-0.03717513288766067,-0.013535388514807588,-0.017809586483459594,-0.02582727103850328,-0.011641503948589822,-0.016522986168991675,-0.028469419127716507,-0.009912302898296465,-0.013373647360036541,-0.019866553920312644
2020-01-21,0.0011298287176815,-0.012106087328670452,-0.016472634813999746,-0.03730041431509804,-0.013523367327118306,-0.01781536797241689,-0.025866447388118538,-0.011544503609937397,-0.01646624675042967,-0.028603922138037186,-0.006658311595460172,-0.009167387208799348,-0.013873995779588304
2020-01-22,0.0065838884432226,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013467103316093961,-0.017742067099407424,-0.02576118819539474,-0.011465321067224137,-0.016382766799130286,-0.028587247522035068,-0.006448627809481532,-0.00889781198140336,-0.01349207416853086
2020-01-23,0.0022979593591455,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013473912734562978,-0.017739257555602912,-0.025740335078077343,-0.011432133747015582,-0.016361178705142056,-0.028704816219353085,-0.006289504513899982,-0.008710495135234815,-0.013251870910279615
2020-01-24,-0.010595178568243,-0.01207356946583714,-0.016463810864243218,-0.03723777360137936,-0.013503149495797721,-0.017761285000127608,-0.02574883904342244,-0.0114438375724583,-0.01638781436601085,-0.028877435276280516,-0.006128993534990509,-0.00850741660497796,-0.012968942733027684
2020-01-27,-0.0240558695729241,-0.012138605191503761,-0.016481458763756278,-0.037363055028816726,-0.013674513157840502,-0.01793853851714743,-0.025937140948848036,-0.011590069360836855,-0.016550705773792466,-0.02913025060920985,-0.006897654303299039,-0.009435077271247694,-0.014194860764886668
2020-01-28,0.0187302874433536,-0.012591350510865401,-0.0166309913571903,-0.03730041431509804,-0.014094576863173624,-0.01842048606788058,-0.026535172301761036,-0.01194948334893102,-0.01700059409209706,-0.029822573913854258,-0.008623802064212894,-0.011539694203308156,-0.017009422919493603
2020-01-29,0.0032913002628476,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.014026290230825193,-0.018372049657330036,-0.026523971606048777,-0.01195969947314469,-0.017003987238794427,-0.029651238184443932,-0.010417649372904092,-0.013890816746407181,-0.02040590112290358
2020-01-30,0.0043133265113911,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.013974050653701602,-0.018318336820594895,-0.02646749517929752,-0.011857929403813085,-0.016912007665876885,-0.029639622234136312,-0.008622236016907918,-0.011604223622033808,-0.017197936440275084
2020-01-31,0.001138483509956,-0.01252681573725972,-0.01662337557089644,-0.03723777360137936,-0.01388378942568016,-0.018223810250371827,-0.02636496753646556,-0.011679588160582986,-0.01675398715665999,-0.029656053854974662,-0.008470465536299081,-0.011427281138574441,-0.016973775465778464
2020-02-03,0.0145238452765734,-0.011758651382651262,-0.016481458763756278,-0.037363055028816726,-0.013410474021495634,-0.017707119413400942,-0.025766911601277392,-0.010966353879747103,-0.01607812509862104,-0.029598646157304738,-0.008326591637603223,-0.011271172204559905,-0.016794715640292727
2020-02-04,0.0181712825888828,-0.011712439724688101,-0.016472634813999746,-0.03730041431509804,-0.013318642147868279,-0.017618003257209944,-0.02568288967935093,-0.01091907894307197,-0.01600232828257262,-0.029293455172141516,-0.008310652426358244,-0.011287703928347716,-0.01687215743801947
